,avg_train_loss
0,15.409342006513267
1,5.53900856453522
2,1.235389667806352
3,0.4995523152078033
4,-0.07564897261037948
5,-0.6266232578997399
6,-1.1307007275569212
7,-1.5237603415349485
8,-1.7558081165240829
9,-1.8798367878434006
10,-1.9276494091483438
11,-1.9450747518782403
12,-1.9532380415375825
13,-1.9625706528402438
14,-1.9720493403210002
15,-1.9703897974293703
16,-1.978881396305789
17,-1.9963970085617844
18,-2.001986299350763
19,-1.9997218718194658
20,-2.0160443069069247
21,-2.02332161338466
22,-2.022152800468882
23,-2.039756694417091
24,-2.0423030473624064
25,-2.0499623603881543
26,-2.054910435798062
27,-2.0599618573097667
28,-2.0668223678686055
29,-2.065409222226234
30,-2.074022422170943
31,-2.0785365423579125
32,-2.0800511518101783
33,-2.0816537202543515
34,-2.080937264071908
35,-2.087022322757988
36,-2.090908473464334
37,-2.0936913072683248
38,-2.092961115442264
39,-2.0937405832254203
40,-2.0960767314692212
41,-2.0874948638259987
42,-2.1005046640991405
43,-2.099674255225309
44,-2.100400903422362
45,-2.0981284144577708
46,-2.1033172516306493
47,-2.102473470056133
48,-2.1027643133880227
49,-2.109396084099059
50,-2.103532848844103
51,-2.1094934469575337
52,-2.108396275028302
53,-2.109409283680521
54,-2.1084836136763263
55,-2.1121839831589133
56,-2.115442178811237
57,-2.113928067456385
58,-2.1096875561270743
59,-2.1164085227213087
60,-2.1169640699009986
61,-2.115907233232146
62,-2.119095712710338
63,-2.1223404665661465
64,-2.119189871344597
65,-2.116259656893979
66,-2.1178057284871485
67,-2.1209213961461546
68,-2.122395100866913
69,-2.1191660704886077
